Funds,Net Assets (Cr)
HDFC BSE Sensex ETF,496.00
Nippon India Index Fund BSE Sensex Plan - Direct Plan,849.00
ICICI Prudential BSE Sensex Index Fund - Direct Plan,"1,697"
SBI BSE Sensex Index Fund - Direct Plan,286.00
DSP Nifty Top 10 Equal Weight Index Fund - Direct Plan,"1,148"
UTI BSE Sensex Index Fund - Direct Plan,200.00
Kotak BSE Sensex ETF,23.00
Tata BSE Sensex Index Fund - Direct Plan,357.00
Bandhan BSE Sensex ETF,1.00
Union Largecap Fund - Direct Plan,403.00
HDFC BSE Sensex Index Fund - Direct Plan,"7,897"
Kotak Large Cap Fund - Direct Plan,"9,794"
Parag Parikh Large Cap Fund - Direct Plan,551.00
Edelweiss Large Cap Fund - Direct Plan,"1,322"
Mirae Asset Diversified Equity Allocator Passive FoF - Direct Plan,893.00
LIC MF Nifty 100 ETF,727.00
Zerodha Nifty 100 ETF,131.00
HDFC NIFTY 100 Index Fund - Direct Plan,374.00
Bandhan Nifty 100 Index Fund - Direct Plan,209.00
Axis Nifty 100 Index Fund - Direct Plan,"1,792"
SBI Large Cap Fund - Direct Plan,"48,926"
Nippon India ETF Nifty 100,304.00
HDFC NIFTY 100 ETF,42.00
ICICI Prudential Nifty 100 ETF,144.00
Motilal Oswal Nifty 100 ETF,13.00
Sundaram Nifty 100 Equal Weight Fund - Direct Plan,122.00
Groww Large Cap Fund - Direct Plan,117.00
HSBC Large Cap Fund - Direct Plan,"1,784"
HDFC Nifty Top 20 Equal Weight Index Fund - Direct Plan,75.00
ITI Large Cap Fund - Direct Plan,444.00
Mirae Asset Large Cap Fund - Direct Plan,"35,343"
Mirae Asset Nifty Top 20 Equal Weight ETF,10.00
Tata Large Cap Fund - Direct Plan,"2,448"
LIC MF Large Cap Fund - Direct Plan,"1,352"
Kotak Nifty 100 Equal Weight Index Fund - Direct Plan,36.00
Kotak Nifty 100 Equal Weight ETF,11.00
HDFC Large Cap Fund - Direct Plan,"35,458"
HDFC NIFTY 100 Equal Weight Index Fund - Direct Plan,376.00
UTI BSE Sensex Next 50 ETF,32.00
Nippon India ETF BSE Sensex Next 50,129.00
SBI BSE Sensex Next 50 ETF,22.00
Quant Large Cap Fund - Direct Plan,"3,112"
ICICI Prudential Nifty Top 15 Equal Weight Index Fund - Direct Plan,23.00
Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan,619.00
ICICI Prudential Nifty Top 15 Equal Weight ETF,9.00
Kotak Nifty Next 50 ETF,12.00
Groww Nifty Next 50 Index Fund - Direct Plan,7.00
LIC MF Nifty Next 50 Index Fund - Direct Plan,103.00
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan,203.00
Kotak Nifty Next 50 Index Fund - Direct Plan,854.00
Axis Nifty Next 50 Index Fund - Direct Plan,397.00
DSP Nifty Next 50 ETF,8.00
Groww Nifty Next 50 ETF,7.00
Edelweiss Nifty Next 50 Index Fund - Direct Plan,218.00
UTI Nifty Next 50 Exchange Traded Fund,"2,007"
Nippon India ETF Nifty Next 50 Junior BeES,"6,763"
Mirae Asset Nifty Next 50 ETF,"1,057"
Aditya Birla Sun Life Nifty Next 50 ETF,91.00
ICICI Prudential Nifty Next 50 ETF,"2,056"
UTI Nifty Next 50 Index Fund - Direct Plan,"5,551"
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan,"7,604"
HDFC NIFTY Next 50 ETF,107.00
Bandhan Nifty Next 50 Index Fund - Direct Plan,25.00
JioBlackRock Nifty Next 50 Index Fund - Direct Plan,164.00
SBI Nifty Next 50 ETF,"2,583"
HSBC Nifty Next 50 Index Fund - Direct Plan,148.00
Motilal Oswal Nifty Next 50 Index Fund - Direct Plan,451.00
SBI Nifty Next 50 Index Fund - Direct Plan,"1,711"
Motilal Oswal Nifty Next 50 ETF,4.00
DSP Nifty Next 50 Index Fund - Direct Plan,"1,066"
HDFC NIFTY Next 50 Index Fund - Direct Plan,"1,994"
Tata Nifty Next 50 Index Fund - Direct Plan,99.00
Navi Nifty Next 50 Index Fund - Direct Plan,"1,002"
Bajaj Finserv Nifty Next 50 Index Fund - Direct Plan,25.00
Quant Focused Fund - Direct Plan,813.00
